Meldedatum,AnzahlFall,AnzahlTodesfall,AnzahlGenesen
2021/01/11 00:00:00+00,13526,563,12963
2021/01/12 00:00:00+00,22597,866,21729
2021/01/13 00:00:00+00,24107,942,23165
2021/01/14 00:00:00+00,20447,918,19529
2021/01/15 00:00:00+00,18317,785,17530
2021/01/16 00:00:00+00,13409,523,12884
2021/01/17 00:00:00+00,6612,312,6299
2021/01/18 00:00:00+00,9157,516,8641
2021/01/19 00:00:00+00,18453,738,17715
2021/01/20 00:00:00+00,19514,748,18765
2021/01/21 00:00:00+00,16823,672,16151
2021/01/22 00:00:00+00,15036,606,14428
2021/01/23 00:00:00+00,11582,421,11161
2021/01/24 00:00:00+00,5018,202,4816
2021/01/25 00:00:00+00,6758,407,6350
2021/01/26 00:00:00+00,15502,561,14940
2021/01/27 00:00:00+00,15836,601,15235
2021/01/28 00:00:00+00,13386,463,12922
2021/01/29 00:00:00+00,12578,452,12126
2021/01/30 00:00:00+00,9970,289,9679
2021/01/31 00:00:00+00,4218,177,4041
2021/02/01 00:00:00+00,5877,293,5584
2021/02/02 00:00:00+00,12330,374,11956
2021/02/03 00:00:00+00,13434,415,13018
2021/02/04 00:00:00+00,11526,424,11101
2021/02/05 00:00:00+00,10025,285,9738
2021/02/06 00:00:00+00,8386,221,8164
2021/02/07 00:00:00+00,3092,94,2998
2021/02/08 00:00:00+00,4206,232,3974
2021/02/09 00:00:00+00,9098,282,8816
2021/02/10 00:00:00+00,10277,290,9987
2021/02/11 00:00:00+00,9363,291,9072
2021/02/12 00:00:00+00,8530,237,8293
2021/02/13 00:00:00+00,5621,150,5471
2021/02/14 00:00:00+00,3754,101,3653
2021/02/15 00:00:00+00,4408,185,4222
2021/02/16 00:00:00+00,9263,270,8993
2021/02/17 00:00:00+00,10006,256,9749
2021/02/18 00:00:00+00,9252,222,9030
2021/02/19 00:00:00+00,8738,201,8536
2021/02/20 00:00:00+00,7784,141,7643
2021/02/21 00:00:00+00,3044,90,2954
2021/02/22 00:00:00+00,4404,166,4238
2021/02/23 00:00:00+00,10214,200,10012
2021/02/24 00:00:00+00,11320,213,11106
2021/02/25 00:00:00+00,9944,190,9741
2021/02/26 00:00:00+00,9460,167,9286
2021/02/27 00:00:00+00,7668,112,7549
2021/02/28 00:00:00+00,3465,60,3402
2021/03/01 00:00:00+00,4704,141,4560
2021/03/02 00:00:00+00,10980,171,10793
2021/03/03 00:00:00+00,11322,145,11171
2021/03/04 00:00:00+00,10140,138,9997
2021/03/05 00:00:00+00,9683,123,9556
2021/03/06 00:00:00+00,8310,110,8199
2021/03/07 00:00:00+00,3375,73,3300
2021/03/08 00:00:00+00,4849,119,4724
2021/03/09 00:00:00+00,11523,153,11361
2021/03/10 00:00:00+00,14019,175,13836
2021/03/11 00:00:00+00,13155,168,12978
2021/03/12 00:00:00+00,12550,146,12399
2021/03/13 00:00:00+00,10499,98,10392
2021/03/14 00:00:00+00,4876,64,4806
2021/03/15 00:00:00+00,6824,120,6690
2021/03/16 00:00:00+00,15825,182,15624
2021/03/17 00:00:00+00,18421,169,18231
2021/03/18 00:00:00+00,16781,184,16562
2021/03/19 00:00:00+00,15732,138,15545
2021/03/20 00:00:00+00,13238,103,13106
2021/03/21 00:00:00+00,5983,82,5891
2021/03/22 00:00:00+00,8941,124,6762
2021/03/23 00:00:00+00,19541,181,15005
2021/03/24 00:00:00+00,22723,177,16875
2021/03/25 00:00:00+00,21977,160,15581
2021/03/26 00:00:00+00,20079,162,14287
2021/03/27 00:00:00+00,15762,128,10839
2021/03/28 00:00:00+00,7625,57,5052
2021/03/29 00:00:00+00,11052,121,7085
2021/03/30 00:00:00+00,20417,160,13585
2021/03/31 00:00:00+00,24084,161,16161
2021/04/01 00:00:00+00,21478,127,14107
2021/04/02 00:00:00+00,15534,99,10331
2021/04/03 00:00:00+00,10674,77,6734
2021/04/04 00:00:00+00,7207,45,4674
2021/04/05 00:00:00+00,7084,64,2556
2021/04/06 00:00:00+00,11518,89,3654
2021/04/07 00:00:00+00,23700,73,6465
2021/04/08 00:00:00+00,25746,70,5586
2021/04/09 00:00:00+00,23337,51,3220
2021/04/10 00:00:00+00,18072,40,1368
2021/04/11 00:00:00+00,8868,23,484
2021/04/12 00:00:00+00,12069,36,488
2021/04/13 00:00:00+00,26584,28,647
2021/04/14 00:00:00+00,28458,13,491
2021/04/15 00:00:00+00,24664,12,248
2021/04/16 00:00:00+00,21607,11,125
2021/04/17 00:00:00+00,12567,1,40
