Refdatum,AnzahlFall,AnzahlTodesfall,AnzahlGenesen
2021/01/22 00:00:00+00,13460,563,12896
2021/01/23 00:00:00+00,11071,383,10688
2021/01/24 00:00:00+00,7576,271,7305
2021/01/25 00:00:00+00,10208,445,9762
2021/01/26 00:00:00+00,13153,500,12652
2021/01/27 00:00:00+00,12671,482,12189
2021/01/28 00:00:00+00,11399,423,10975
2021/01/29 00:00:00+00,11314,390,10924
2021/01/30 00:00:00+00,9534,289,9245
2021/01/31 00:00:00+00,6212,186,6025
2021/02/01 00:00:00+00,8737,346,8391
2021/02/02 00:00:00+00,10441,362,10079
2021/02/03 00:00:00+00,10988,387,10600
2021/02/04 00:00:00+00,9611,353,9258
2021/02/05 00:00:00+00,8977,290,8687
2021/02/06 00:00:00+00,7718,194,7524
2021/02/07 00:00:00+00,4887,144,4743
2021/02/08 00:00:00+00,6770,249,6521
2021/02/09 00:00:00+00,8090,259,7831
2021/02/10 00:00:00+00,8639,263,8376
2021/02/11 00:00:00+00,7865,258,7606
2021/02/12 00:00:00+00,8029,221,7808
2021/02/13 00:00:00+00,6241,159,6082
2021/02/14 00:00:00+00,5262,121,5141
2021/02/15 00:00:00+00,7016,227,6788
2021/02/16 00:00:00+00,8378,234,8142
2021/02/17 00:00:00+00,8884,250,8633
2021/02/18 00:00:00+00,8506,222,8283
2021/02/19 00:00:00+00,8366,185,8180
2021/02/20 00:00:00+00,7789,135,7652
2021/02/21 00:00:00+00,5192,100,5092
2021/02/22 00:00:00+00,7343,211,7129
2021/02/23 00:00:00+00,9131,186,8940
2021/02/24 00:00:00+00,9341,180,9161
2021/02/25 00:00:00+00,8525,165,8357
2021/02/26 00:00:00+00,8857,145,8712
2021/02/27 00:00:00+00,7771,125,7643
2021/02/28 00:00:00+00,5724,90,5633
2021/03/01 00:00:00+00,7876,162,7714
2021/03/02 00:00:00+00,9613,132,9478
2021/03/03 00:00:00+00,9871,128,9740
2021/03/04 00:00:00+00,9224,133,9088
